Category,Cause,Site,Month,Year,Severity,Status,Count
Spill,Management,Bolton,Oct,2007,Major,Closed,7
Injury,Equipment,Bolton,Oct,2007,Major,Closed,7
Injury,Training,Bolton,Oct,2007,Medium,Closed,8
Transport,Equipment,Bolton,Oct,2007,Critical,Closed,7
Transport,Design,Bolton,Oct,2007,Major,Open,17
Equipment,Equipment,Bolton,Oct,2007,Medium,Closed,8
Equipment,Procedure,Bolton,Oct,2007,Medium,Open,9
Security,Design,Bolton,Oct,2007,Near Miss,Closed,2
Security,Material,Bolton,Oct,2007,Major,Closed,10
Divergence,Material,Bolton,Oct,2007,Medium,Open,12
Divergence,Training,Bolton,Oct,2007,Major,Closed,7
Complaint,External,Bolton,Oct,2007,Medium,Closed,4
Complaint,Material,Bolton,Oct,2007,Medium,Closed,4
Customer,Procedure,Shirley,Oct,2007,Near Miss,Closed,6
Customer,Design,Shirley,Oct,2007,Near Miss,Closed,4
Spill,Management,Shirley,Oct,2007,Critical,Open,5
Spill,Design,Shirley,Oct,2007,Near Miss,Closed,11
Injury,Personnel,Shirley,Oct,2007,Major,Open,12
Injury,Design,Shirley,Oct,2007,Near Miss,Open,6
Transport,Procedure,Shirley,Oct,2007,Near Miss,Closed,12
Transport,Management,Shirley,Oct,2007,Medium,Closed,11
Equipment,Procedure,Shirley,Oct,2007,Near Miss,Open,10
Equipment,Management,Shirley,Oct,2007,Major,Closed,6
Security,Procedure,Shirley,Oct,2007,Critical,Closed,5
Security,External,Shirley,Oct,2007,Critical,Open,7
Divergence,Personnel,Shirley,Oct,2007,Critical,Closed,8
Divergence,Management,Shirley,Oct,2007,Medium,Open,9
Complaint,Material,Shirley,Oct,2007,Medium,Closed,2
Complaint,Management,Shirley,Oct,2007,Medium,Open,4
Customer,Procedure,Lincoln,Oct,2007,Near Miss,Closed,7
Customer,External,Lincoln,Oct,2007,Near Miss,Closed,4
Spill,Material,Lincoln,Oct,2007,Major,Closed,10
Spill,Management,Lincoln,Oct,2007,Critical,Open,6
Injury,Personnel,Lincoln,Oct,2007,Critical,Closed,5
Injury,Design,Lincoln,Oct,2007,Near Miss,Closed,8
Transport,Material,Lincoln,Oct,2007,Major,Open,5
Transport,Training,Lincoln,Oct,2007,Medium,Closed,9
Equipment,Design,Lincoln,Oct,2007,Major,Closed,11
Equipment,Material,Lincoln,Oct,2007,Critical,Closed,5
Security,External,Lincoln,Oct,2007,Medium,Closed,7
Security,Training,Lincoln,Oct,2007,Major,Open,1
Divergence,Procedure,Lincoln,Oct,2007,Critical,Closed,8
Divergence,External,Lincoln,Oct,2007,Major,Open,7
Complaint,Procedure,Lincoln,Oct,2007,Medium,Closed,17
Complaint,Material,Lincoln,Oct,2007,Near Miss,Open,13
Customer,Management,Maynard,Oct,2007,Major,Open,15
Customer,Equipment,Maynard,Oct,2007,Major,Closed,10
Spill,Procedure,Maynard,Oct,2007,Critical,Open,8
Spill,Personnel,Maynard,Oct,2007,Near Miss,Closed,6
Injury,Management,Maynard,Oct,2007,Critical,Closed,8
Injury,Training,Maynard,Oct,2007,Near Miss,Closed,4
Transport,Training,Maynard,Oct,2007,Critical,Open,11
Transport,Material,Maynard,Oct,2007,Critical,Closed,3
Equipment,External,Maynard,Oct,2007,Critical,Open,7
Equipment,Personnel,Maynard,Oct,2007,Near Miss,Closed,8
Security,Material,Maynard,Oct,2007,Near Miss,Closed,7
Security,External,Maynard,Oct,2007,Medium,Open,10
Divergence,Training,Maynard,Oct,2007,Critical,Open,6
Divergence,Management,Maynard,Oct,2007,Major,Closed,6
Complaint,Design,Maynard,Oct,2007,Medium,Closed,8
Complaint,Management,Maynard,Oct,2007,Medium,Open,15
Customer,Management,Acton,Oct,2007,Major,Closed,10
Customer,Personnel,Acton,Oct,2007,Medium,Closed,10
Spill,Personnel,Acton,Oct,2007,Major,Open,6
Spill,Management,Acton,Oct,2007,Critical,Open,4
Injury,Personnel,Acton,Oct,2007,Near Miss,Open,9
Injury,Material,Acton,Oct,2007,Critical,Closed,9
Transport,Equipment,Acton,Oct,2007,Critical,Closed,10
Transport,Training,Acton,Oct,2007,Major,Closed,7
Equipment,Management,Acton,Oct,2007,Medium,Open,8
Equipment,External,Acton,Oct,2007,Near Miss,Closed,8
Security,Management,Acton,Oct,2007,Near Miss,Closed,14
Security,Training,Acton,Oct,2007,Near Miss,Closed,12
Divergence,Material,Acton,Oct,2007,Critical,Closed,9
Divergence,Management,Acton,Oct,2007,Medium,Open,7
Complaint,Equipment,Acton,Oct,2007,Near Miss,Closed,11
Complaint,External,Acton,Oct,2007,Major,Closed,3
Customer,Training,Concord,Oct,2007,Medium,Closed,8
Customer,Procedure,Concord,Oct,2007,Critical,Open,3
Spill,Training,Concord,Oct,2007,Medium,Closed,5
Spill,Equipment,Concord,Oct,2007,Critical,Closed,7
Injury,External,Concord,Oct,2007,Near Miss,Closed,12
Injury,Personnel,Concord,Oct,2007,Major,Closed,6
Transport,Training,Concord,Oct,2007,Near Miss,Closed,13
Transport,Procedure,Concord,Oct,2007,Critical,Closed,8
Equipment,Management,Concord,Oct,2007,Near Miss,Closed,9
Equipment,Procedure,Concord,Oct,2007,Critical,Closed,7
Security,Personnel,Concord,Oct,2007,Near Miss,Closed,6
Security,Equipment,Concord,Oct,2007,Major,Closed,10
Divergence,Procedure,Concord,Oct,2007,Critical,Closed,6
Divergence,Personnel,Concord,Oct,2007,Medium,Closed,6
Complaint,Personnel,Concord,Oct,2007,Major,Closed,9
Complaint,Equipment,Concord,Oct,2007,Major,Closed,11
Customer,Design,Hudson,Oct,2007,Medium,Open,8
Customer,Procedure,Hudson,Oct,2007,Near Miss,Open,4
Spill,Design,Hudson,Oct,2007,Critical,Open,6
Spill,External,Hudson,Oct,2007,Medium,Closed,8
Injury,Training,Hudson,Oct,2007,Near Miss,Closed,2
Injury,Personnel,Hudson,Oct,2007,Critical,Closed,8
Transport,Design,Hudson,Oct,2007,Medium,Open,5
Transport,Management,Hudson,Oct,2007,Near Miss,Closed,8
Equipment,Material,Hudson,Oct,2007,Major,Closed,13
Equipment,Equipment,Hudson,Oct,2007,Major,Closed,12
Security,Training,Hudson,Oct,2007,Medium,Closed,10
Security,Material,Hudson,Oct,2007,Major,Closed,10
Divergence,Management,Hudson,Oct,2007,Major,Closed,4
Divergence,External,Hudson,Oct,2007,Medium,Closed,13
Complaint,Design,Hudson,Oct,2007,Critical,Closed,3
Complaint,Equipment,Hudson,Oct,2007,Near Miss,Open,9
Customer,Procedure,Weston,Nov,2007,Critical,Closed,14
Customer,Training,Weston,Nov,2007,Near Miss,Closed,10
Spill,Procedure,Weston,Nov,2007,Medium,Closed,9
Spill,Design,Weston,Nov,2007,Medium,Closed,8
Injury,External,Weston,Nov,2007,Medium,Closed,11
Injury,Equipment,Weston,Nov,2007,Major,Closed,5
Transport,Training,Weston,Nov,2007,Major,Closed,10
Transport,Management,Weston,Nov,2007,Medium,Closed,9
Equipment,Personnel,Weston,Nov,2007,Critical,Closed,7
Equipment,External,Weston,Nov,2007,Near Miss,Closed,8
Security,Procedure,Weston,Nov,2007,Near Miss,Closed,6
Security,Equipment,Weston,Nov,2007,Major,Closed,11
Divergence,Procedure,Weston,Nov,2007,Critical,Closed,6
Divergence,External,Weston,Nov,2007,Critical,Open,9
Complaint,Material,Weston,Nov,2007,Near Miss,Closed,7
Complaint,Design,Weston,Nov,2007,Near Miss,Closed,13
Customer,Training,Bolton,Nov,2007,Major,Closed,7
Customer,Management,Bolton,Nov,2007,Medium,Closed,7
Spill,Equipment,Bolton,Nov,2007,Major,Closed,8
Spill,External,Bolton,Nov,2007,Medium,Closed,4
Injury,External,Bolton,Nov,2007,Critical,Open,4
Injury,Management,Bolton,Nov,2007,Critical,Closed,7
Transport,Training,Bolton,Nov,2007,Medium,Open,6
Transport,Management,Bolton,Nov,2007,Major,Open,7
Equipment,Equipment,Bolton,Nov,2007,Major,Open,8
Equipment,Material,Bolton,Nov,2007,Major,Closed,5
Security,Design,Bolton,Nov,2007,Medium,Closed,12
Security,Training,Bolton,Nov,2007,Critical,Open,12
Divergence,Design,Bolton,Nov,2007,Critical,Open,9
Divergence,Material,Bolton,Nov,2007,Major,Closed,7
Complaint,Material,Bolton,Nov,2007,Medium,Closed,4
Complaint,Procedure,Bolton,Nov,2007,Medium,Open,7
Customer,External,Shirley,Nov,2007,Critical,Closed,12
Customer,Material,Shirley,Nov,2007,Near Miss,Closed,9
Spill,Training,Shirley,Nov,2007,Near Miss,Closed,11
Spill,Design,Shirley,Nov,2007,Critical,Closed,6
Injury,Design,Shirley,Nov,2007,Critical,Closed,7
Injury,Management,Shirley,Nov,2007,Near Miss,Closed,2
Transport,Equipment,Shirley,Nov,2007,Major,Closed,8
Transport,Material,Shirley,Nov,2007,Medium,Closed,9
Equipment,Training,Shirley,Nov,2007,Critical,Closed,8
Equipment,Procedure,Shirley,Nov,2007,Major,Closed,9
Security,Equipment,Shirley,Nov,2007,Critical,Closed,7
Security,Management,Shirley,Nov,2007,Near Miss,Closed,6
Divergence,Management,Shirley,Nov,2007,Medium,Closed,8
Divergence,Personnel,Shirley,Nov,2007,Critical,Open,6
Complaint,Personnel,Shirley,Nov,2007,Major,Closed,15
Complaint,Equipment,Shirley,Nov,2007,Medium,Closed,7
Customer,Equipment,Lincoln,Nov,2007,Near Miss,Closed,5
Customer,Design,Lincoln,Nov,2007,Critical,Open,9
Spill,Management,Lincoln,Nov,2007,Medium,Open,11
Spill,External,Lincoln,Nov,2007,Critical,Closed,11
Injury,Personnel,Lincoln,Nov,2007,Critical,Closed,11
Injury,Management,Lincoln,Nov,2007,Near Miss,Closed,10
Transport,Material,Lincoln,Nov,2007,Critical,Closed,10
Transport,Management,Lincoln,Nov,2007,Critical,Closed,5
Equipment,Management,Lincoln,Nov,2007,Near Miss,Closed,12
Equipment,Equipment,Lincoln,Nov,2007,Near Miss,Closed,6
Security,Management,Lincoln,Nov,2007,Medium,Open,11
Security,Material,Lincoln,Nov,2007,Major,Open,11
Divergence,Equipment,Lincoln,Nov,2007,Major,Closed,8
Divergence,Training,Lincoln,Nov,2007,Medium,Closed,15
Complaint,Management,Lincoln,Nov,2007,Medium,Closed,10
Complaint,External,Lincoln,Nov,2007,Near Miss,Open,9
Customer,Equipment,Maynard,Nov,2007,Major,Closed,6
Customer,Management,Maynard,Nov,2007,Medium,Closed,9
Spill,Procedure,Maynard,Nov,2007,Medium,Closed,11
Spill,Equipment,Maynard,Nov,2007,Major,Closed,11
Injury,Material,Maynard,Nov,2007,Near Miss,Open,7
Injury,Management,Maynard,Nov,2007,Critical,Closed,7
Transport,Training,Maynard,Nov,2007,Near Miss,Closed,11
Transport,Management,Maynard,Nov,2007,Near Miss,Closed,9
Equipment,Equipment,Maynard,Nov,2007,Medium,Open,10
Equipment,Management,Maynard,Nov,2007,Critical,Closed,5
Security,External,Maynard,Nov,2007,Major,Closed,5
Security,Design,Maynard,Nov,2007,Medium,Closed,3
Divergence,Procedure,Maynard,Nov,2007,Near Miss,Closed,10
Divergence,Equipment,Maynard,Nov,2007,Critical,Closed,10
Complaint,Equipment,Maynard,Nov,2007,Major,Closed,12
Complaint,Procedure,Maynard,Nov,2007,Near Miss,Closed,10
Customer,External,Acton,Nov,2007,Critical,Open,6
Customer,Design,Acton,Nov,2007,Medium,Closed,10
Spill,Design,Acton,Nov,2007,Major,Closed,8
Spill,Training,Acton,Nov,2007,Major,Closed,9
Injury,External,Acton,Nov,2007,Medium,Open,6
Injury,Management,Acton,Nov,2007,Major,Open,11
Transport,Procedure,Acton,Nov,2007,Medium,Open,3
Transport,Personnel,Acton,Nov,2007,Medium,Open,10
Equipment,Procedure,Acton,Nov,2007,Medium,Open,8
Equipment,External,Acton,Nov,2007,Medium,Closed,8
Security,Management,Acton,Nov,2007,Near Miss,Closed,10
Security,Training,Acton,Nov,2007,Major,Open,7
Divergence,Design,Acton,Nov,2007,Near Miss,Open,14
Divergence,Material,Acton,Nov,2007,Near Miss,Closed,9
Complaint,Management,Acton,Nov,2007,Major,Closed,3
Complaint,Equipment,Acton,Nov,2007,Near Miss,Closed,9
Customer,Training,Concord,Nov,2007,Medium,Closed,10
Customer,Personnel,Concord,Nov,2007,Major,Closed,7
Spill,Training,Concord,Nov,2007,Medium,Closed,6
Spill,Design,Concord,Nov,2007,Medium,Closed,5
Injury,Design,Concord,Nov,2007,Critical,Closed,14
Injury,Management,Concord,Nov,2007,Medium,Closed,8
Transport,Training,Concord,Nov,2007,Major,Closed,8
Transport,Equipment,Concord,Nov,2007,Major,Open,6
Equipment,Management,Concord,Nov,2007,Near Miss,Closed,9
Equipment,Material,Concord,Nov,2007,Medium,Open,6
Security,Management,Concord,Nov,2007,Critical,Open,7
Security,Equipment,Concord,Nov,2007,Major,Closed,9
Divergence,Management,Concord,Nov,2007,Critical,Open,3
Divergence,External,Concord,Nov,2007,Near Miss,Open,8
Complaint,Material,Concord,Nov,2007,Near Miss,Open,10
Complaint,Management,Concord,Nov,2007,Near Miss,Closed,10
Customer,Procedure,Hudson,Nov,2007,Critical,Closed,5
Customer,Management,Hudson,Nov,2007,Major,Closed,10
Spill,Equipment,Hudson,Nov,2007,Critical,Closed,8
Spill,Personnel,Hudson,Nov,2007,Critical,Open,4
Injury,Management,Hudson,Nov,2007,Critical,Closed,11
Injury,Training,Hudson,Nov,2007,Near Miss,Open,6
Transport,Management,Hudson,Nov,2007,Medium,Closed,7
Transport,Procedure,Hudson,Nov,2007,Major,Closed,10
Equipment,Procedure,Hudson,Nov,2007,Near Miss,Closed,4
Equipment,Design,Hudson,Nov,2007,Medium,Open,5
Security,Training,Hudson,Nov,2007,Major,Closed,6
Security,Procedure,Hudson,Nov,2007,Near Miss,Open,13
Divergence,Training,Hudson,Nov,2007,Critical,Closed,9
Divergence,External,Hudson,Nov,2007,Critical,Closed,11
Complaint,Personnel,Hudson,Nov,2007,Major,Open,10
Complaint,Procedure,Hudson,Nov,2007,Major,Closed,7
Customer,Training,Weston,Dec,2007,Near Miss,Closed,5
Customer,Equipment,Weston,Dec,2007,Major,Open,13
Spill,Equipment,Weston,Dec,2007,Near Miss,Closed,4
Spill,External,Weston,Dec,2007,Medium,Open,8
Injury,Management,Weston,Dec,2007,Medium,Open,7
Injury,Training,Weston,Dec,2007,Major,Open,7
Transport,Training,Weston,Dec,2007,Major,Closed,5
Transport,Design,Weston,Dec,2007,Critical,Closed,8
Equipment,Management,Weston,Dec,2007,Near Miss,Closed,3
Equipment,Procedure,Weston,Dec,2007,Near Miss,Closed,9
Security,Personnel,Weston,Dec,2007,Near Miss,Closed,11
Security,Procedure,Weston,Dec,2007,Critical,Open,9
Divergence,Equipment,Weston,Dec,2007,Critical,Open,10
Divergence,Management,Weston,Dec,2007,Near Miss,Closed,8
Complaint,Equipment,Weston,Dec,2007,Medium,Closed,7
Complaint,Material,Weston,Dec,2007,Near Miss,Open,10
Customer,External,Bolton,Dec,2007,Major,Closed,5
Customer,Design,Bolton,Dec,2007,Major,Closed,9
Spill,Equipment,Bolton,Dec,2007,Critical,Closed,4
Spill,Design,Bolton,Dec,2007,Near Miss,Closed,7
Injury,Procedure,Bolton,Dec,2007,Near Miss,Open,7
Injury,Management,Bolton,Dec,2007,Medium,Open,2
Transport,Procedure,Bolton,Dec,2007,Medium,Closed,15
Transport,Management,Bolton,Dec,2007,Major,Closed,6
Equipment,Management,Bolton,Dec,2007,Medium,Open,11
Equipment,External,Bolton,Dec,2007,Near Miss,Closed,10
Security,Equipment,Bolton,Dec,2007,Near Miss,Open,7
Security,Design,Bolton,Dec,2007,Major,Closed,14
Divergence,Personnel,Bolton,Dec,2007,Medium,Closed,9
Divergence,Training,Bolton,Dec,2007,Critical,Closed,11
Complaint,Management,Bolton,Dec,2007,Medium,Open,10
Complaint,External,Bolton,Dec,2007,Medium,Closed,13
Customer,Personnel,Shirley,Dec,2007,Critical,Closed,4
Customer,Equipment,Shirley,Dec,2007,Near Miss,Closed,5
Spill,Design,Shirley,Dec,2007,Medium,Closed,9
Spill,Personnel,Shirley,Dec,2007,Major,Closed,10
Injury,Procedure,Shirley,Dec,2007,Medium,Closed,8
Injury,Material,Shirley,Dec,2007,Near Miss,Closed,9
Transport,Equipment,Shirley,Dec,2007,Critical,Open,4
Transport,Training,Shirley,Dec,2007,Near Miss,Closed,9
Equipment,Equipment,Shirley,Dec,2007,Near Miss,Closed,8
Equipment,Procedure,Shirley,Dec,2007,Medium,Open,5
Security,Personnel,Shirley,Dec,2007,Critical,Closed,7
Security,Equipment,Shirley,Dec,2007,Medium,Closed,9
Divergence,Training,Shirley,Dec,2007,Near Miss,Open,9
Divergence,Equipment,Shirley,Dec,2007,Near Miss,Open,9
Complaint,Management,Shirley,Dec,2007,Major,Open,9
Complaint,Personnel,Shirley,Dec,2007,Critical,Closed,8
Customer,Personnel,Lincoln,Dec,2007,Critical,Closed,13
Customer,Training,Lincoln,Dec,2007,Major,Closed,8
Spill,Personnel,Lincoln,Dec,2007,Critical,Open,9
Spill,Training,Lincoln,Dec,2007,Near Miss,Open,8
Injury,Material,Lincoln,Dec,2007,Critical,Closed,8
Injury,Equipment,Lincoln,Dec,2007,Critical,Closed,14
Transport,Equipment,Lincoln,Dec,2007,Near Miss,Closed,7
Transport,External,Lincoln,Dec,2007,Critical,Closed,8
Equipment,Material,Lincoln,Dec,2007,Near Miss,Closed,7
Equipment,Design,Lincoln,Dec,2007,Near Miss,Closed,12
Security,Management,Lincoln,Dec,2007,Medium,Closed,7
Security,Training,Lincoln,Dec,2007,Near Miss,Closed,7
Divergence,Procedure,Lincoln,Dec,2007,Near Miss,Closed,12
Divergence,External,Lincoln,Dec,2007,Near Miss,Closed,9
Complaint,External,Lincoln,Dec,2007,Critical,Closed,12
Complaint,Management,Lincoln,Dec,2007,Near Miss,Open,7
Customer,Procedure,Maynard,Dec,2007,Near Miss,Closed,8
Customer,Management,Maynard,Dec,2007,Critical,Open,9
Spill,Material,Maynard,Dec,2007,Critical,Open,6
Spill,Equipment,Maynard,Dec,2007,Medium,Open,7
Injury,Procedure,Maynard,Dec,2007,Major,Closed,8
Injury,External,Maynard,Dec,2007,Near Miss,Closed,11
Transport,Equipment,Maynard,Dec,2007,Medium,Closed,10
Transport,Personnel,Maynard,Dec,2007,Major,Closed,6
Equipment,Material,Maynard,Dec,2007,Critical,Open,16
Equipment,Personnel,Maynard,Dec,2007,Medium,Open,7
Security,Equipment,Maynard,Dec,2007,Near Miss,Closed,10
Security,Procedure,Maynard,Dec,2007,Medium,Closed,6
Divergence,Training,Maynard,Dec,2007,Major,Open,3
Divergence,Material,Maynard,Dec,2007,Medium,Closed,12
Complaint,External,Maynard,Dec,2007,Critical,Open,7
Complaint,Personnel,Maynard,Dec,2007,Critical,Closed,6
Customer,Training,Acton,Dec,2007,Major,Closed,8
Customer,Procedure,Acton,Dec,2007,Critical,Open,14
Spill,Material,Acton,Dec,2007,Major,Closed,9
Spill,Equipment,Acton,Dec,2007,Medium,Closed,8
Injury,Design,Acton,Dec,2007,Medium,Open,8
Injury,Training,Acton,Dec,2007,Major,Open,13
Transport,Personnel,Acton,Dec,2007,Major,Closed,8
Transport,Procedure,Acton,Dec,2007,Near Miss,Closed,6
Equipment,Management,Acton,Dec,2007,Medium,Closed,9
Equipment,Material,Acton,Dec,2007,Medium,Closed,10
Security,External,Acton,Dec,2007,Major,Closed,7
Security,Design,Acton,Dec,2007,Medium,Closed,4
Divergence,External,Acton,Dec,2007,Medium,Closed,9
Divergence,Management,Acton,Dec,2007,Major,Open,8
Complaint,Personnel,Acton,Dec,2007,Medium,Closed,7
Complaint,Design,Acton,Dec,2007,Critical,Open,8
Customer,Material,Concord,Dec,2007,Near Miss,Open,7
Customer,Management,Concord,Dec,2007,Major,Open,13
Spill,External,Concord,Dec,2007,Near Miss,Open,2
Spill,Procedure,Concord,Dec,2007,Near Miss,Closed,7
Injury,Equipment,Concord,Dec,2007,Medium,Closed,8
Injury,External,Concord,Dec,2007,Critical,Closed,9
Transport,Management,Concord,Dec,2007,Critical,Open,7
Transport,Design,Concord,Dec,2007,Medium,Closed,10
Equipment,Material,Concord,Dec,2007,Major,Closed,8
Equipment,Procedure,Concord,Dec,2007,Major,Closed,12
Security,Procedure,Concord,Dec,2007,Medium,Closed,7
Security,Material,Concord,Dec,2007,Major,Closed,13
Divergence,Design,Concord,Dec,2007,Near Miss,Closed,8
Divergence,External,Concord,Dec,2007,Major,Open,6
Complaint,Management,Concord,Dec,2007,Medium,Closed,5
Complaint,Procedure,Concord,Dec,2007,Major,Closed,11
Customer,Management,Hudson,Dec,2007,Major,Closed,12
Customer,Training,Hudson,Dec,2007,Major,Open,10
Spill,Personnel,Hudson,Dec,2007,Critical,Closed,9
Spill,Design,Hudson,Dec,2007,Major,Closed,9
Injury,Equipment,Hudson,Dec,2007,Critical,Closed,8
Injury,Management,Hudson,Dec,2007,Critical,Closed,7
Transport,Equipment,Hudson,Dec,2007,Major,Open,7
Transport,Procedure,Hudson,Dec,2007,Major,Open,10
Equipment,Procedure,Hudson,Dec,2007,Medium,Closed,10
Equipment,Training,Hudson,Dec,2007,Near Miss,Closed,5
Security,Material,Hudson,Dec,2007,Major,Closed,3
Security,External,Hudson,Dec,2007,Medium,Closed,8
Divergence,Management,Hudson,Dec,2007,Medium,Closed,9
Divergence,Training,Hudson,Dec,2007,Medium,Closed,7
Complaint,Equipment,Hudson,Dec,2007,Critical,Open,6
Complaint,Procedure,Hudson,Dec,2007,Critical,Open,9
Customer,Management,Weston,Jan,2008,Near Miss,Closed,5
Customer,Equipment,Weston,Jan,2008,Major,Closed,8
Spill,Training,Weston,Jan,2008,Medium,Closed,11
Spill,Equipment,Weston,Jan,2008,Medium,Closed,6
Injury,External,Weston,Jan,2008,Near Miss,Closed,8
Injury,Design,Weston,Jan,2008,Major,Closed,3
Transport,Management,Weston,Jan,2008,Near Miss,Closed,7
Transport,Material,Weston,Jan,2008,Near Miss,Closed,11
Equipment,Material,Weston,Jan,2008,Medium,Closed,10
Equipment,Procedure,Weston,Jan,2008,Near Miss,Closed,2
Security,Design,Weston,Jan,2008,Critical,Closed,6
Security,Management,Weston,Jan,2008,Medium,Open,7
Divergence,Personnel,Weston,Jan,2008,Medium,Open,8
Divergence,Material,Weston,Jan,2008,Near Miss,Closed,5
Complaint,Design,Weston,Jan,2008,Near Miss,Closed,5
Complaint,Material,Weston,Jan,2008,Critical,Closed,9
Customer,Material,Bolton,Jan,2008,Near Miss,Open,5
Customer,Equipment,Bolton,Jan,2008,Medium,Closed,7
Spill,External,Bolton,Jan,2008,Medium,Open,9
Spill,Training,Bolton,Jan,2008,Critical,Closed,8
Injury,Procedure,Bolton,Jan,2008,Near Miss,Open,13
Injury,Material,Bolton,Jan,2008,Near Miss,Closed,9
Transport,External,Bolton,Jan,2008,Near Miss,Closed,2
Transport,Material,Bolton,Jan,2008,Critical,Closed,4
Equipment,Equipment,Bolton,Jan,2008,Major,Open,2
Equipment,Material,Bolton,Jan,2008,Major,Open,11
Security,Personnel,Bolton,Jan,2008,Major,Open,12
Security,Procedure,Bolton,Jan,2008,Near Miss,Closed,12
Divergence,Personnel,Bolton,Jan,2008,Near Miss,Open,9
Divergence,Design,Bolton,Jan,2008,Critical,Closed,12
Complaint,Design,Bolton,Jan,2008,Major,Closed,9
Complaint,Equipment,Bolton,Jan,2008,Near Miss,Closed,11
Customer,Personnel,Shirley,Jan,2008,Near Miss,Closed,9
Customer,Management,Shirley,Jan,2008,Critical,Closed,7
Spill,Design,Shirley,Jan,2008,Critical,Open,12
Spill,Procedure,Shirley,Jan,2008,Critical,Open,8
Injury,Training,Shirley,Jan,2008,Critical,Closed,4
Injury,Management,Shirley,Jan,2008,Major,Closed,4
Transport,Personnel,Shirley,Jan,2008,Near Miss,Closed,9
Transport,Training,Shirley,Jan,2008,Critical,Closed,6
Equipment,Training,Shirley,Jan,2008,Major,Closed,7
Equipment,Personnel,Shirley,Jan,2008,Critical,Closed,7
Security,Personnel,Shirley,Jan,2008,Critical,Open,5
Security,External,Shirley,Jan,2008,Near Miss,Closed,8
Divergence,Procedure,Shirley,Jan,2008,Major,Closed,7
Divergence,Management,Shirley,Jan,2008,Major,Open,8
Complaint,Equipment,Shirley,Jan,2008,Major,Open,10
Complaint,Management,Shirley,Jan,2008,Major,Open,10
Customer,Design,Lincoln,Jan,2008,Medium,Closed,12
Customer,Equipment,Lincoln,Jan,2008,Medium,Closed,6
Spill,Procedure,Lincoln,Jan,2008,Major,Closed,6
Spill,Training,Lincoln,Jan,2008,Critical,Open,7
Injury,Management,Lincoln,Jan,2008,Medium,Closed,7
Injury,External,Lincoln,Jan,2008,Near Miss,Open,8
Transport,External,Lincoln,Jan,2008,Critical,Closed,12
Transport,Material,Lincoln,Jan,2008,Near Miss,Open,4
Equipment,Procedure,Lincoln,Jan,2008,Medium,Closed,4
Equipment,Equipment,Lincoln,Jan,2008,Medium,Closed,10
Security,Management,Lincoln,Jan,2008,Major,Closed,9
Security,Design,Lincoln,Jan,2008,Medium,Open,9
Divergence,Personnel,Lincoln,Jan,2008,Critical,Closed,3
Divergence,Procedure,Lincoln,Jan,2008,Medium,Closed,10
Complaint,Training,Lincoln,Jan,2008,Near Miss,Open,10
Complaint,Material,Lincoln,Jan,2008,Major,Closed,8
Customer,Training,Maynard,Jan,2008,Near Miss,Closed,5
Customer,External,Maynard,Jan,2008,Medium,Closed,6
Spill,Material,Maynard,Jan,2008,Near Miss,Open,7
Spill,Procedure,Maynard,Jan,2008,Medium,Closed,7
Injury,Personnel,Maynard,Jan,2008,Major,Closed,7
Injury,Equipment,Maynard,Jan,2008,Major,Closed,7
Transport,Procedure,Maynard,Jan,2008,Near Miss,Closed,12
Transport,Equipment,Maynard,Jan,2008,Major,Closed,6
Equipment,Equipment,Maynard,Jan,2008,Near Miss,Closed,8
Equipment,Material,Maynard,Jan,2008,Near Miss,Closed,11
Security,External,Maynard,Jan,2008,Medium,Open,7
Security,Procedure,Maynard,Jan,2008,Major,Closed,9
Divergence,Procedure,Maynard,Jan,2008,Medium,Closed,3
Divergence,Equipment,Maynard,Jan,2008,Medium,Open,9
Complaint,External,Maynard,Jan,2008,Critical,Closed,11
Complaint,Management,Maynard,Jan,2008,Major,Open,5
Customer,Design,Acton,Jan,2008,Medium,Open,5
Customer,External,Acton,Jan,2008,Medium,Closed,3
Spill,Material,Acton,Jan,2008,Near Miss,Closed,13
Spill,Procedure,Acton,Jan,2008,Near Miss,Closed,8
Injury,Management,Acton,Jan,2008,Near Miss,Closed,8
Injury,Procedure,Acton,Jan,2008,Medium,Open,6
Transport,Personnel,Acton,Jan,2008,Major,Closed,9
Transport,Management,Acton,Jan,2008,Critical,Closed,6
Equipment,Equipment,Acton,Jan,2008,Major,Closed,9
Equipment,Design,Acton,Jan,2008,Near Miss,Closed,7
Security,Procedure,Acton,Jan,2008,Major,Open,7
Security,Design,Acton,Jan,2008,Major,Open,7
Divergence,Equipment,Acton,Jan,2008,Medium,Closed,8
Divergence,Procedure,Acton,Jan,2008,Near Miss,Open,4
Complaint,Training,Acton,Jan,2008,Critical,Open,3
Complaint,Material,Acton,Jan,2008,Medium,Closed,8
Customer,Training,Concord,Jan,2008,Medium,Closed,5
Customer,Personnel,Concord,Jan,2008,Critical,Open,13
Spill,Procedure,Concord,Jan,2008,Medium,Closed,9
Spill,Equipment,Concord,Jan,2008,Near Miss,Closed,5
Injury,Design,Concord,Jan,2008,Major,Closed,7
Injury,Material,Concord,Jan,2008,Near Miss,Closed,11
Transport,External,Concord,Jan,2008,Major,Closed,4
Transport,Design,Concord,Jan,2008,Medium,Closed,8
Equipment,Personnel,Concord,Jan,2008,Near Miss,Open,7
Equipment,Training,Concord,Jan,2008,Near Miss,Closed,7
